student_id,age,gender,department,year,semester,attendance_percentage,internal_marks,assignment_score,exam_score,previous_semester_score,cgpa,arrear_count,study_hours,activity_count,certificate_count,technical_activity_count,sports_activity_count,positive_review_count,negative_review_count,discipline_score,teacher_feedback_score,communication_score,teamwork_score,skill_score,academic_progress,performance_category,at_risk
STU2026001,18,Male,AIDS,III,Sem-5,55,45,45,53,46,4.98,1,15,3,3,3,0,3,2,81,45,58,50,63,Improving,Needs Improvement,1
STU2026002,21,Female,Computer Science,II,Sem-4,53,53,59,50,44,5.12,2,16,5,5,4,1,5,1,90,59,53,58,79,Improving,Average,0
STU2026003,18,Female,AIDS,III,Sem-5,72,80,76,76,70,7.76,0,28,3,1,3,0,6,0,100,84,79,73,77,Improving,Very Good,0
STU2026004,20,Female,Information Technology,III,Sem-5,69,73,71,67,73,6.94,0,23,4,8,1,3,6,0,95,79,71,66,95,Declining,Excellent,0
STU2026005,20,Female,Electronics & Comm,I,Sem-1,93,96,90,85,92,8.94,0,28,10,7,1,9,7,0,97,97,86,92,100,Declining,Excellent,0
STU2026006,22,Female,AIDS,IV,Sem-8,54,59,66,50,43,5.36,1,18,10,2,6,4,6,1,89,62,63,62,74,Improving,Average,0
STU2026007,21,Female,Mechanical,I,Sem-1,79,81,76,76,71,7.8,0,23,6,2,3,3,4,0,99,79,72,77,80,Improving,Very Good,0
STU2026008,18,Female,AIDS,II,Sem-3,55,60,51,59,66,5.94,1,17,5,4,1,4,3,2,80,53,54,55,68,Declining,Average,0
STU2026009,21,Male,Mechanical,II,Sem-3,78,70,75,81,86,7.66,0,22,8,3,5,3,6,0,100,82,77,75,89,Declining,Very Good,0
STU2026010,22,Female,Computer Science,II,Sem-3,45,44,42,38,30,4.04,1,17,10,0,1,9,2,1,88,39,50,50,40,Improving,At Risk,1
STU2026011,19,Female,AIDS,IV,Sem-7,74,75,75,65,72,6.9,0,25,6,3,0,6,4,0,100,72,73,67,69,Declining,Good,0
STU2026012,21,Female,Electrical,I,Sem-1,46,40,40,38,36,4.0,1,16,7,2,3,4,3,3,66,35,50,50,51,Improving,At Risk,1
STU2026013,21,Male,Computer Science,I,Sem-1,98,86,86,92,99,8.96,0,28,3,6,0,3,6,0,100,96,79,88,98,Declining,Excellent,0
STU2026014,20,Female,Electronics & Comm,IV,Sem-8,45,43,41,38,40,4.0,1,14,9,7,4,5,3,1,91,46,50,50,79,Declining,Needs Improvement,1
STU2026015,18,Male,AIDS,II,Sem-4,47,41,40,37,42,4.0,3,17,9,8,2,7,4,2,81,42,50,50,75,Declining,Needs Improvement,1
STU2026016,20,Female,Information Technology,III,Sem-6,62,63,50,46,52,5.28,3,20,1,1,1,0,4,3,61,48,60,52,53,Declining,Needs Improvement,1
STU2026017,19,Female,Electronics & Comm,II,Sem-4,91,81,76,83,78,8.22,0,25,4,1,0,4,6,0,99,91,84,86,74,Improving,Very Good,0
STU2026018,19,Female,Information Technology,III,Sem-6,59,45,47,55,55,5.1,1,15,5,2,5,0,5,2,78,51,59,56,66,Improving,Needs Improvement,1
STU2026019,18,Male,Computer Science,II,Sem-3,89,85,80,87,83,8.62,0,24,4,5,4,0,5,0,100,89,81,87,100,Improving,Excellent,0
STU2026020,19,Male,Electronics & Comm,IV,Sem-7,88,96,86,84,89,8.88,0,25,2,5,2,0,8,0,100,100,86,86,100,Declining,Excellent,0
STU2026021,19,Male,Electrical,I,Sem-2,57,58,57,51,52,5.38,1,16,0,3,0,0,5,3,60,45,52,51,54,Declining,Needs Improvement,1
STU2026022,22,Female,AIDS,III,Sem-5,45,40,45,35,30,4.0,3,16,5,5,3,2,2,4,56,35,50,50,66,Improving,At Risk,1
STU2026023,18,Female,Computer Science,II,Sem-4,67,69,64,62,57,6.48,3,20,8,4,5,3,6,0,100,70,67,68,83,Improving,Good,0
STU2026024,20,Male,Information Technology,IV,Sem-8,73,78,76,78,70,7.8,0,23,4,3,3,1,6,0,100,83,81,76,84,Improving,Very Good,0
STU2026025,19,Female,AIDS,II,Sem-3,58,57,56,46,45,5.04,3,18,3,3,1,2,3,1,86,52,62,58,60,Improving,Needs Improvement,1
STU2026026,18,Female,Electrical,II,Sem-4,63,61,58,58,63,5.92,1,20,8,7,0,8,5,0,96,71,72,62,82,Declining,Good,0
STU2026027,21,Female,Electrical,IV,Sem-8,95,94,94,92,92,9.28,0,31,3,4,3,0,8,0,100,98,85,84,98,Improving,Excellent,0
STU2026028,21,Male,AIDS,III,Sem-5,52,60,48,47,43,5.22,1,18,2,3,0,2,6,4,52,46,61,55,56,Improving,Needs Improvement,1
STU2026029,18,Male,Electrical,IV,Sem-7,93,88,89,91,83,8.98,0,26,4,6,4,0,8,0,100,96,83,85,100,Improving,Excellent,0
STU2026030,19,Female,Electrical,IV,Sem-7,64,63,64,55,61,5.82,1,21,8,0,3,5,3,1,93,58,66,57,59,Declining,Needs Improvement,1
STU2026031,21,Male,Computer Science,III,Sem-6,57,55,59,58,58,5.68,2,18,1,7,0,1,3,3,62,47,52,63,75,Improving,Average,0
STU2026032,18,Male,Information Technology,II,Sem-3,71,68,79,65,63,6.62,0,24,4,5,1,3,4,0,97,76,73,67,83,Improving,Good,0
STU2026033,22,Male,Electronics & Comm,IV,Sem-8,89,84,89,83,84,8.34,0,31,10,1,6,4,5,0,100,95,93,93,97,Declining,Very Good,0
STU2026034,20,Male,Mechanical,III,Sem-5,94,85,80,88,91,8.68,0,29,7,2,3,4,6,0,100,92,83,87,88,Declining,Excellent,0
STU2026035,22,Female,Electrical,IV,Sem-8,53,62,50,54,60,5.72,1,22,7,6,2,5,3,4,52,42,54,58,76,Declining,Needs Improvement,1
STU2026036,19,Female,Electronics & Comm,III,Sem-6,94,94,86,77,85,8.38,0,25,1,3,1,0,8,0,100,97,84,91,87,Declining,Excellent,0
STU2026037,21,Female,Electrical,I,Sem-1,55,59,54,53,56,5.54,2,20,8,5,3,5,5,3,66,49,56,54,74,Declining,Average,0
STU2026038,20,Male,Computer Science,II,Sem-4,46,50,43,41,39,4.46,3,16,4,8,4,0,4,1,86,46,50,50,81,Improving,Average,0
STU2026039,20,Male,Electronics & Comm,I,Sem-1,47,55,55,47,54,5.02,1,21,0,4,0,0,6,4,52,46,52,50,60,Declining,Needs Improvement,1
STU2026040,20,Female,Computer Science,I,Sem-2,69,69,59,59,55,6.3,3,21,1,3,0,1,7,0,100,75,65,72,66,Improving,Good,0
STU2026041,22,Female,Electrical,IV,Sem-8,87,83,78,79,77,8.06,0,29,3,4,3,0,5,0,97,90,83,81,96,Improving,Excellent,0
STU2026042,22,Male,Information Technology,I,Sem-2,67,63,64,54,53,5.76,2,23,4,7,0,4,4,0,99,67,62,64,80,Improving,Good,0
STU2026043,18,Male,AIDS,II,Sem-4,80,77,80,83,84,8.06,0,26,1,7,1,0,7,0,100,93,82,85,100,Declining,Excellent,0
STU2026044,22,Female,Electrical,I,Sem-1,94,86,87,77,71,8.06,0,25,10,0,6,4,7,0,100,96,78,92,91,Improving,Very Good,0
STU2026045,19,Female,Mechanical,IV,Sem-8,51,48,56,40,47,4.32,2,17,5,5,5,0,3,2,76,43,55,55,75,Declining,Needs Improvement,1
STU2026046,21,Female,AIDS,IV,Sem-7,63,61,66,56,60,5.8,3,24,0,8,0,0,6,0,95,71,62,66,85,Declining,Very Good,0
STU2026047,20,Female,AIDS,IV,Sem-7,51,45,51,53,60,4.98,1,14,10,3,5,5,4,3,67,42,50,53,68,Declining,Needs Improvement,1
STU2026048,21,Male,Information Technology,I,Sem-2,96,97,86,96,97,9.64,0,29,4,6,4,0,8,0,100,100,87,90,100,Declining,Excellent,0
